date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:28	70/70	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Feb%202026%2020:49:29%20GMT	https://bracketweb.com/robots.txt		(from )
13:04:30	181658/181658	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2007:34:28%20GMT	https://bracketweb.com/tolakwp/onepage-home-two/	F:/June/CodePSS/bracketweb.com/tolakwp/onepage-home-two/index.html	(from )
13:04:31	12795/12795	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2002:29:36%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-9.1.6	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks190f.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:31	2894/2894	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2023:48:54%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/contact-form-7/includes/css/stylese2db.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:32	2746/2746	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Jul%202024%2002:37:50%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/layerdrops-toolbar/assets/css/layerdrops-toolbar.css?ver=1783582468	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/layerdrops-toolbar/assets/css/layerdrops-toolbarf494.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:32	1750/1750	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2003:18:20%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick.css?ver=7.0	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick8717.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:32	4631/4631	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2003:18:20%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min.css?ver=7.0	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min8717.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:33	4000/4000	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2003:18:20%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme.css?ver=7.0	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme8717.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:33	7426/7426	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2003:18:20%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup.css?ver=7.0	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup8717.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
13:04:34	342/342	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2003:18:20%20GMT	https://bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather.css?ver=7.0	F:/June/CodePSS/bracketweb.com/tolakwp/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather8717.css	(from https://bracketweb.com/tolakwp/onepage-home-two/)
